iso3,country_label,disponibilite_volaille_kg_hab_an,log_population_2017,part_importations_poulet,log_production_poulet,ease_business_score,political_stability,log_gdp_per_capita,log_distance_france,langue_officielle_commune_france,log_evenements_sanitaires,signal_maturite_bio_import
MNE,Montenegro,-0.19599389383095137,-1.3677192625620378,1.535784802455017,-1.4800186278578984,0.8923338183325917,-0.00288597885120138,0.44515931050965984,0.2491930117351129,-0.47967540647319123,0.7335899329218086,-0.2045900558545903
MNG,Mongolia,-1.0931980071487142,-0.4964248020291225,2.06576534671542,-2.3121698253785734,0.3730632660736934,0.9713380247757779,-0.06550564304113493,0.5186534055783808,-0.47967540647319123,-0.5194246442940337,-0.3512631622998255
MOZ,Mozambique,-1.0375047919389817,0.7115862282381833,-0.28249454265453,0.15499216129328228,-0.8066260179655484,-1.0000329002105803,-2.045066212696113,0.7767236319583524,-0.47967540647319123,-0.5194246442940337,-0.3512631622998255
MRT,Mauritania,-0.9322310314815606,-0.32296593750378516,1.6246482788782532,-1.0483327069685366,-1.156830575689624,-0.6561891342245875,-0.7344062845993552,-0.18429398127675145,-0.47967540647319123,-0.5194246442940337,-0.3512631622998255
MUS,Maurice,1.2948183913563986,-0.9867588899713792,-0.882972842373501,-0.10309529791795174,1.3002559064913146,1.1776442843673733,0.5993492730947091,0.847122230555685,2.08474311274887,-0.5194246442940337,-0.5711915773939611
MWI,Malawi,-0.9301934748275461,0.44852427453411514,-0.877944260650519,0.31140585662445813,-0.2633015182546001,-0.22065369730899675,-1.9778926378689987,0.6108352976537844,-0.47967540647319123,-0.5194246442940337,-0.3512631622998255
MYS,Malaisie,1.3817541419276884,0.7563547746356527,-0.7650902940290982,1.3431675667145777,1.2902573018370092,0.20342028074039423,0.7305009935104209,0.9630060852319139,-0.47967540647319123,-0.5194246442940337,-0.5735312413843243
NAM,Namibia,-0.49823146417645064,-0.6375208454585615,1.2305690037556474,-0.6867338551227811,-0.1354597949191793,0.7879546829165818,-0.17129054257433196,0.6734581665771355,-0.47967540647319123,-0.5194246442940337,-0.5758709053746874
NER,Niger,-1.2174889630436048,0.5579009818848671,-0.5669992300946936,-0.49151214592868087,-0.9369548841213547,-1.3897225016613721,-2.1000146481961512,-0.14388176537344305,2.08474311274887,-0.5194246442940337,-0.3512631622998255
NGA,Nigeria,-1.2127346641842374,1.744011675478094,-0.7449566616114143,0.5925589096874555,-0.8680411760455576,-2.2264089988939544,-0.4834646160724214,0.06359478308671931,-0.47967540647319123,0.7335899329218086,-0.3512631622998255
